Sector, Score
Automotive,19
Advanced Mfg,18
IT,17
Transportation,16
Other Economic Sector,15
Hospitality,14
Energy,13
Geospatial,12
Null,11
Health Care,10
Construction,9
Finance,8
Aerospace,7
Retail,6
Educational Services,5
Agribusiness,4
Biotechnology,3
Homeland Security,2
,1
