Sector, Score
Automotive ,190
Advanced Mfg ,180
IT ,170
Transportation ,160
Other Economic Sector ,150
Hospitality ,140
Energy ,130
Geospatial ,120
Health Care ,100
Construction , 90
Finance , 80
Aerospace , 70
Retail , 60
Educational Services , 50
Agribusiness , 40
Biotechnology , 30
Homeland Security , 20
